route_Name,busname,bus_desc,bustype,starttime,endtime,duration,dploc,ratings,fare,seats,Bus_Name,Bus_Id,Seat_Type,Actype,dur_in_min,Orgin,End
Vijayawada to Hyderabad,APSRTC - 3858,INDRA(A.C. Seater),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),22:30:00,3:05:00,04h 35m,Rtc bus stand,3.7,567,25,APSRTC,Government Bus,Unknown,AC,275,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),22:40:00,5:15:00,06h 35m,IBRAHIMPATNAM-VJA,2.2,446,31,APSRTC,Government Bus,Unknown,AC,395,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,STAR LINER(NON-AC SLEEPER 2+1),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),22:45:00,4:16:00,05h 31m,Rtc bus stand,4.2,607,18,APSRTC,Government Bus,Unknown,AC,331,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,INDRA(A.C. Seater),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),22:45:00,4:59:00,06h 14m,Rtc bus stand,4.2,567,34,APSRTC,Government Bus,Unknown,AC,374,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),22:46:00,6:40:00,07h 54m,PRODDUTUR X ROAD-VJA,4.2,469,17,APSRTC,Government Bus,Unknown,AC,474,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,INDRA(A.C. Seater),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),22:55:00,5:05:00,06h 10m,PORANKI,2.6,567,24,APSRTC,Government Bus,Unknown,AC,370,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,NIGHT RIDER (SEATER CUM SLEEPER),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),22:55:00,5:35:00,06h 40m,PORANKI,3.9,639,24,APSRTC,Government Bus,Unknown,AC,400,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,INDRA(A.C. Seater),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),22:55:00,5:25:00,06h 30m,PORANKI,3.6,567,35,APSRTC,Government Bus,Unknown,AC,390,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),22:55:00,6:15:00,07h 20m,PORANKI,4.6,469,31,APSRTC,Government Bus,Unknown,AC,440,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:00:00,4:20:00,05h 20m,Rtc bus stand,4.4,469,31,APSRTC,Government Bus,Unknown,AC,320,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:00:00,5:25:00,06h 25m,Auto Nagar,4,436,31,APSRTC,Government Bus,Unknown,AC,385,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:00:00,5:20:00,06h 20m,Rtc bus stand,3.7,469,30,APSRTC,Government Bus,Unknown,AC,380,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,VENNELA (A.C. SLEEPER),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:00:00,3:35:00,04h 35m,Rtc bus stand,4.3,781,18,APSRTC,Government Bus,Unknown,AC,275,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,INDRA(A.C. Seater),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:00:00,3:46:00,04h 46m,Rtc bus stand,4.3,567,36,APSRTC,Government Bus,Unknown,AC,286,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,VENNELA (A.C. SLEEPER),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:05:00,4:25:00,05h 20m,Rtc bus stand,3.7,839,13,APSRTC,Government Bus,Unknown,AC,320,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:05:00,5:20:00,06h 15m,Enikepadu,4.4,720,45,APSRTC,Government Bus,Unknown,AC,375,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:15:00,5:50:00,06h 35m,Rtc bus stand,2.2,469,31,APSRTC,Government Bus,Unknown,AC,395,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:15:00,5:30:00,06h 15m,Rtc bus stand,4,469,34,APSRTC,Government Bus,Unknown,AC,375,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:15:00,5:07:00,05h 52m,Rtc bus stand,3.7,469,30,APSRTC,Government Bus,Unknown,AC,352,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,INDRA(A.C. Seater),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:16:00,6:00:00,06h 44m,PORANKI,3.9,567,37,APSRTC,Government Bus,Unknown,AC,404,Vijayawada,Hyderabad
